"id","experiment_id","biopsy_id","biomaterial_id","mg_per_biopsy_mean","mg_per_biopsy_std","mg_per_ml_mean","mg_per_ml_std","mg_per_cm2_mean","mg_per_cm2_std","net_weight_mg","tissue_areal_density_mg_per_cm2","sample_id","hp_sid"
153,"HP6-20230913","20230810-1","BM0723PE350","0.204674197","0.012930261",NULL,NULL,"0.40718637799999996","0.025723937000000002","10.47375",NULL,NULL,NULL
154,"HP6-20230913","20230810-2","BM0723RP350","0.247003897","0.024590894",NULL,NULL,"0.49139863899999997","0.04892203","8.594",NULL,NULL,NULL
155,"HP6-20230913","20230810-3","BM0723RP350","0.203660342","0.007769687",NULL,NULL,"0.40516937700000005","0.015457301000000001","8.588333333",NULL,NULL,NULL
156,"HP2-20230830","20230727-1","PET","0.184382235","0.010216672",NULL,NULL,"0.366816801","0.020325423000000002","15.45666667","30.750061300000002",NULL,NULL
157,"HP2-20230830","20230727-2","PET","0.180076574","0.004778083",NULL,NULL,"0.358250962","0.009505695","15.08183333","30.00435407",NULL,NULL
158,"HP2-20230830","20230727-3","PET","0.132355503","0.007254411",NULL,NULL,"0.263312908","0.014432193000000001","16.01333333","31.85751444",NULL,NULL
159,"HP27-20231107","Gelatin_new buffer_10min_0",NULL,NULL,NULL,"-1.27e-05","0.001094669",NULL,NULL,NULL,NULL,NULL,NULL
160,"HP27-20231107","Gelatin_new buffer_10min_2.5",NULL,NULL,NULL,"0.030708974","0.001535053",NULL,NULL,NULL,NULL,NULL,NULL
161,"HP27-20231107","Gelatin_new buffer_10min_5",NULL,NULL,NULL,"0.050113554000000005","0.002554228",NULL,NULL,NULL,NULL,NULL,NULL
162,"HP27-20231107","Gelatin_new buffer_20min_0",NULL,NULL,NULL,"0.000148552","0.001042727",NULL,NULL,NULL,NULL,NULL,NULL
163,"HP27-20231107","Gelatin_new buffer_20min_2.5",NULL,NULL,NULL,"0.033205043","0.001243252",NULL,NULL,NULL,NULL,NULL,NULL
164,"HP27-20231107","Gelatin_new buffer_20min_5",NULL,NULL,NULL,"0.061119203","0.0033688109999999998",NULL,NULL,NULL,NULL,NULL,NULL
165,"HP27-20231107","Gelatin_new buffer_30min_0",NULL,NULL,NULL,"0.000135871","0.001095815",NULL,NULL,NULL,NULL,NULL,NULL
166,"HP27-20231107","Gelatin_new buffer_30min_2.5",NULL,NULL,NULL,"0.03448466","0.001012589",NULL,NULL,NULL,NULL,NULL,NULL
167,"HP27-20231107","Gelatin_new buffer_30min_5",NULL,NULL,NULL,"0.065508423","0.006408439",NULL,NULL,NULL,NULL,NULL,NULL
168,"HP27-20231107","Gelatin_new buffer_5min_0",NULL,NULL,NULL,"0.000933792","0.002286221",NULL,NULL,NULL,NULL,NULL,NULL
169,"HP27-20231107","Gelatin_new buffer_5min_2.5",NULL,NULL,NULL,"0.027906035","0.004286665",NULL,NULL,NULL,NULL,NULL,NULL
170,"HP27-20231107","Gelatin_new buffer_5min_5",NULL,NULL,NULL,"0.04718017099999999","0.00010886799999999999",NULL,NULL,NULL,NULL,NULL,NULL
171,"HP27-20231107","Gelatin_old buffer_10min_0",NULL,NULL,NULL,"-0.00014617700000000002","0.001082087",NULL,NULL,NULL,NULL,NULL,NULL
172,"HP27-20231107","Gelatin_old buffer_10min_2.5",NULL,NULL,NULL,"0.032790896","0.002491316",NULL,NULL,NULL,NULL,NULL,NULL
173,"HP27-20231107","Gelatin_old buffer_10min_5",NULL,NULL,NULL,"0.052898347000000005","0.003674062",NULL,NULL,NULL,NULL,NULL,NULL
174,"HP27-20231107","Gelatin_old buffer_20min_0",NULL,NULL,NULL,"0.000101288","0.001082832",NULL,NULL,NULL,NULL,NULL,NULL
175,"HP27-20231107","Gelatin_old buffer_20min_2.5",NULL,NULL,NULL,"0.033006534","0.000828834",NULL,NULL,NULL,NULL,NULL,NULL
176,"HP27-20231107","Gelatin_old buffer_20min_5",NULL,NULL,NULL,"0.062092842999999995","0.00204535",NULL,NULL,NULL,NULL,NULL,NULL
