,hp_sid,experiment_id,biomaterial_id,sample_id,biopsy_id,mg_per_biopsy_mean,mg_per_biopsy_std,mg_per_ml_mean,mg_per_ml_std,mg_per_cm2_mean,mg_per_cm2_std,net_weight_mg_x,tissue_areal_density_mg_per_cm2
8432,HP45-1353,HP45-20231201,,Gelatin_2.5,Gelatin_2.5,,,0.043652462,,,,,
8435,HP45-1354,HP45-20231201,,Gelatin_0,Gelatin_0,,,0.003314771,,,,,
8436,HP45-1355,HP45-20231201,,Gelatin_0,Gelatin_0,,,0.030383633,,,,,
8487,HP44-1356,HP44-20231130,,TGFBS231012G_0.025hyp_1,TGFBS231012G_0.025hyp_1,,,0.034407544,,,,,
8493,HP44-1357,HP44-20231130,,TGFBS231012G_0.020hyp_1,TGFBS231012G_0.020hyp_1,,,0.029173925,,,,,
8499,HP44-1358,HP44-20231130,,TGFBS231012G_0.015hyp_1,TGFBS231012G_0.015hyp_1,,,0.023482364,,,,,
8505,HP44-1359,HP44-20231130,,TGFBS231012G_0.010hyp_1,TGFBS231012G_0.010hyp_1,,,0.018532233,,,,,
8511,HP44-1360,HP44-20231130,,TGFBS231012G_0.005hyp_1,TGFBS231012G_0.005hyp_1,,,0.013080546,,,,,
8517,HP44-1361,HP44-20231130,,TGFBS231012G_0.000hyp_1,TGFBS231012G_0.000hyp_1,,,0.007367179,,,,,
8535,HP44-1362,HP44-20231130,,TGFBS231012G_0.025hyp_2,TGFBS231012G_0.025hyp_2,,,0.026117725,,,,,
8541,HP44-1363,HP44-20231130,,TGFBS231012G_0.020hyp_2,TGFBS231012G_0.020hyp_2,,,0.017095453,,,,,
8547,HP44-1364,HP44-20231130,,TGFBS231012G_0.015hyp_2,TGFBS231012G_0.015hyp_2,,,0.010971175,,,,,
8553,HP44-1365,HP44-20231130,,TGFBS231012G_0.010hyp_2,TGFBS231012G_0.010hyp_2,,,0.009420295,,,,,
